Id,nstrike,date,F_AREA
25,10,2017-08-31,93.95847090920
15,12,2016-05-18,195.21981216000
16,12,2016-06-01,474.69885330300
17,12,2016-07-13,487.26045376800
18,12,2016-09-22,493.31972037600
20,16,2016-12-23,163.77134953200
21,16,2017-03-15,313.78189098600
25,16,2017-08-31,329.73637920900
25,17,2017-08-31,30.19176354670
29,17,2018-02-28,96.97979352690
31,17,2018-05-23,180.64656947800
32,17,2018-07-24,220.81148677000
32,18005,2018-07-24,42.69714099120
34,18005,2018-10-26,47.12096185100
35,18005,2018-11-26,75.86660220180
39,18005,2019-03-25,122.03458720200
45,18005,2019-09-23,147.47580111600
39,18012,2019-03-25,26.20442001290
45,18012,2019-09-23,49.05599825470
45,19001,2019-09-23,28.77767716130
46,19021,2019-10-17,13.35570190210
47,19021,2019-11-28,80.27990220290
17,20,2016-07-13,38.47561459010
32,30,2018-07-24,152.27860157100
34,30,2018-10-26,178.80483454400
35,30,2018-11-26,234.05492917500
36,30,2018-12-26,255.13979581100
15,3,2016-05-18,371.46348085100
16,3,2016-06-01,556.34959606700
17,3,2016-07-13,691.38800276200
25,3,2017-08-31,691.38800276200
22,6,2017-04-21,78.07092041770
25,6,2017-08-31,131.32817975000
27,6,2017-10-30,168.61382303000
29,6,2018-02-28,168.61382303000
25,8b,2017-08-31,141.43215249400
28,8b,2017-11-29,331.04885890100
20,9,2016-12-23,18.93621750710
