,All,12 months,24 months,36 months
 Mean canopy disturbance volume,2238.2,2540.4,2962.1,3043.0
Min canopy disturbance volume,66.4,66.4,75.0,75.0
Max canopy disturbance volume,10810.2,10810.2,10810.2,10810.2
